Sample#,Sepal. Length,Sepal.Width,Petal.Length^%$#,Petal.Width,Date.collected,lol what is this column even doing here,useless $*^#ing column,Species
63,6,2.2,4,1,8/05/2022,,1,versicolor
64,6.1,2.9,4.7,1.4,8/05/2022,,1,versicolor
65,5.6,2.9,3.6,1.3,8/05/2022,,1,versicolor
66,6.7,3.1,4.4,1.4,8/05/2022,,1,versicolor
67,5.6,3,4.5,1.5,8/05/2022,,1,versicolor
68,5.8,2.7,4.1,1,8/05/2022,,1,versicolor
69,6.2,2.2,4.5,1.5,8/05/2022,,1,versicolor
70,5.6,2.5,3.9,1.1,8/05/2022,,1,versicolor
71,5.9,3.2,4.8,1.8,8/05/2022,,1,versicolor
72,6.1,2.8,4,1.3,8/05/2022,,1,versicolor
73,6.3,2.5,4.9,1.5,8/05/2022,,1,versicolor
74,6.1,2.8,4.7,1.2,8/05/2022,,1,versicolor
75,6.4,2.9,4.3,1.3,8/05/2022,,1,versicolor
76,6.6,3,4.4,1.4,8/05/2022,,1,versicolor
77,6.8,2.8,4.8,1.4,8/05/2022,,1,versicolor
78,6.7,3,5,1.7,8/05/2022,,1,versicolor
79,6,2.9,4.5,1.5,8/05/2022,,1,versicolor
80,5.7,2.6,3.5,1,8/05/2022,,1,versicolor
81,5.5,2.4,3.8,1.1,8/05/2022,,1,versicolor
82,5.5,2.4,3.7,1,8/05/2022,,1,versicolor
83,5.8,2.7,3.9,1.2,8/05/2022,,1,versicolor
84,6,2.7,5.1,1.6,8/05/2022,,1,versicolor
85,5.4,3,4.5,1.5,8/05/2022,,1,versicolor
86,6,3.4,4.5,1.6,8/05/2022,,1,versicolor
87,6.7,3.1,4.7,1.5,8/05/2022,,1,versicolor
88,6.3,2.3,4.4,1.3,8/05/2022,,1,versicolor
89,5.6,3,4.1,1.3,8/05/2022,,1,versicolor
90,5.5,2.5,4,1.3,8/05/2022,,1,versicolor
91,5.5,2.6,4.4,1.2,8/05/2022,,1,versicolor
92,6.1,3,4.6,1.4,8/05/2022,,1,versicolor
93,5.8,2.6,4,1.2,8/05/2022,,1,versicolor
94,5,2.3,3.3,1,8/05/2022,,1,versicolor
95,5.6,2.7,4.2,1.3,8/05/2022,,1,versicolor
96,5.7,3,4.2,1.2,8/05/2022,,1,versicolor
97,5.7,2.9,4.2,1.3,8/05/2022,,1,versicolor
98,6.2,2.9,4.3,1.3,8/05/2022,,1,versicolor
99,5.1,2.5,3,1.1,8/05/2022,,1,versicolor
100,5.7,2.8,4.1,1.3,8/05/2022,,1,versicolor
101,6.3,3.3,6,2.5,8/05/2022,,1,virginica
102,5.8,2.7,5.1,1.9,8/05/2022,,1,virginica
103,7.1,3,5.9,2.1,8/05/2022,,1,virginica
104,6.3,2.9,5.6,1.8,8/05/2022,,1,virginica
105,6.5,3,5.8,2.2,8/05/2022,,1,virginica
106,7.6,3,6.6,2.1,8/05/2022,,1,virginica
107,4.9,2.5,4.5,1.7,8/05/2022,,1,virginica
108,7.3,2.9,6.3,1.8,8/05/2022,,1,virginica
109,6.7,2.5,5.8,1.8,8/05/2022,,1,virginica
110,7.2,3.6,6.1,2.5,8/05/2022,,1,virginica
111,6.5,3.2,5.1,2,8/05/2022,,1,virginica
112,6.4,2.7,5.3,1.9,8/05/2022,,1,virginica
113,6.8,3,5.5,2.1,8/05/2022,,1,virginica
114,5.7,2.5,5,2,8/05/2022,,1,virginica
115,5.8,2.8,5.1,2.4,8/05/2022,,1,virginica
116,6.4,3.2,5.3,2.3,8/05/2022,,1,virginica
117,6.5,3,5.5,1.8,8/05/2022,,1,virginica
118,7.7,3.8,6.7,2.2,8/05/2022,,1,virginica
119,7.7,2.6,6.9,2.3,8/05/2022,,1,virginica
120,6,2.2,5,1.5,8/05/2022,,1,virginica
121,6.9,3.2,5.7,2.3,8/05/2022,,1,virginica
122,5.6,2.8,4.9,2,8/05/2022,,1,virginica
123,7.7,2.8,6.7,2,8/05/2022,,1,virginica
124,6.3,2.7,4.9,1.8,8/05/2022,,1,virginica
125,6.7,3.3,5.7,2.1,8/05/2022,,1,virginica
126,7.2,3.2,6,1.8,8/05/2022,,1,virginica
127,6.2,2.8,4.8,1.8,8/05/2022,,1,virginica
128,6.1,3,4.9,1.8,8/05/2022,,1,virginica
129,6.4,2.8,5.6,2.1,8/05/2022,,1,virginica
130,7.2,3,5.8,1.6,8/05/2022,,1,virginica
131,7.4,2.8,6.1,1.9,8/05/2022,,1,virginica
132,7.9,3.8,6.4,2,8/05/2022,,1,virginica
133,6.4,2.8,5.6,2.2,8/05/2022,,1,virginica
134,6.3,2.8,5.1,1.5,8/05/2022,,1,virginica
135,6.1,2.6,5.6,1.4,8/05/2022,,1,virginica
136,7.7,3,6.1,2.3,8/05/2022,,1,virginica
137,6.3,3.4,5.6,2.4,8/05/2022,,1,virginica
138,6.4,3.1,5.5,1.8,8/05/2022,,1,virginica
139,6,3,4.8,1.8,8/05/2022,,1,virginica
140,6.9,3.1,5.4,2.1,8/05/2022,,1,virginica
141,6.7,3.1,5.6,2.4,8/05/2022,,1,virginica
142,6.9,3.1,5.1,2.3,8/05/2022,,1,virginica
143,5.8,2.7,5.1,1.9,8/05/2022,,1,virginica
144,6.8,3.2,5.9,2.3,8/05/2022,,1,virginica
145,6.7,3.3,5.7,2.5,8/05/2022,,1,virginica
146,6.7,3,5.2,2.3,8/05/2022,,1,virginica
147,6.3,2.5,5,1.9,8/05/2022,,1,virginica
148,6.5,3,5.2,2,8/05/2022,,1,virginica
149,6.2,3.4,5.4,2.3,8/05/2022,,1,virginica
150,5.9,3,5.1,1.8,8/05/2022,,1,virginica
